SMILES,Molecular_Weight,LogP,QED,Lipinski_H_Bond_Donors,Lipinski_H_Bond_Acceptors,Lipinski_Rule_Violation
CO[C@H](C)C(=O)N1CC([C@@H](C)NC(=O)Cn2ccc(O)nc2=O)C1,338.36400000000015,-1.0530999999999986,0.683895716419152,2,7,0
CCc1onc(C)c1C(=O)N(C)[C@@H]1CCCN(C(=O)/C=C/C2CC2)C1,345.4430000000001,2.5746200000000012,0.7694372889063413,0,4,0
CC(C)CN(CCNC(=O)COc1ccccc1F)C1CC1,308.3970000000001,2.4410999999999996,0.7616861575602907,1,3,0
O=C([C@H]1CSCN1)N1CCC[C@@H](NCCO)C1,259.375,-0.7781999999999984,0.6181803286519022,3,5,0
C=CCNC(=O)CN1C[C@@H]2[C@H](C1)[C@H]2NC(=O)[C@H]1CCN(C)[C@@H]1CC,334.4640000000001,0.06530000000000236,0.6467075747404298,2,4,0
CCOCC[C@H](O)CN(Cc1ccc(C#N)cc1)C(C)C,290.40700000000004,2.5561800000000003,0.7101553337487878,1,4,0
C[C@@H](Oc1cccnc1)C(=O)N1CCN(C(=O)C(C)(C)C2CC2)CC1,345.44300000000015,1.9558999999999997,0.8182986504486267,0,4,0
COc1cc(CN[C@@H]2CCCN(C(=O)CCCC(C)=O)C2)on1,323.39300000000003,1.5230999999999997,0.7806724900224064,1,6,0
CCc1nn(C)c(CC)c1Cc1nc([C@](C)(CC)OC)no1,306.41,2.790300000000001,0.7866594999700298,0,6,0
Cc1cnn(CC(=O)NC[C@H](C)CNC(=O)C[C@@H]2CCC(=O)NC2)c1,349.4350000000001,-0.02367999999999898,0.6130786241494599,3,5,0
Cc1ccc(S(=O)(=O)N[C@@H](CO)CCF)c(C)c1,275.34499999999997,1.3022399999999998,0.8221655717219098,2,3,0
CCN1CC[C@@H](N(C)Cc2cc(C(C)=O)no2)C[C@H]1C,279.384,2.1818,0.7732405575497853,0,5,0
CCC1(C(=O)N2C[C@@H](C)[C@@H](Nc3ccc(C#N)cn3)C2)CCC1,312.4170000000002,2.7923800000000014,0.9279224677754265,1,4,0
Cn1ccc(S(=O)(=O)Nc2ccccc2S(N)(=O)=O)n1,316.3640000000001,-0.13170000000000004,0.8126162229897899,2,6,0
CN(C)CCn1ccc(NC(=O)N[C@@H]2C[C@@H](O)[C@@H](O)C2)n1,297.35900000000004,-0.5495999999999992,0.5838966492919861,4,6,0
N#Cc1ccc(N2C[C@@H](O)[C@H](NC(=O)Cn3ccnc3)C2)cn1,312.3330000000001,-0.48432000000000097,0.7891407297652119,2,7,0
Cn1cc(C(=O)NC2CN(C(=O)c3ncccn3)C2)nn1,287.283,-1.1405,0.764554659873232,1,7,0
C[C@@H](CNC(=O)c1cc[nH]n1)N(C)C(=O)c1nccnc1N,303.326,-0.32759999999999917,0.6932667176467655,3,6,0
CN(C[C@@H](O)CNC(=O)c1cnns1)C(=O)[C@H]1CCCC(=O)N1,341.39300000000014,-1.2440999999999998,0.5941199746489919,3,7,0
CCC(=O)N1CC[C@H]2OCCN(Cc3cc(F)ccc3C)[C@H]2C1,320.408,2.34582,0.856921024796225,0,3,0
Cc1nc(C(C)C)oc1C(=O)NCC[C@H](O)C(=O)O,270.28499999999997,0.6718200000000001,0.699992626182811,3,5,0
Cc1ncccc1CNC[C@H]1CCC[C@H]1NC(=O)c1cnc(C)n1C,341.45900000000006,2.12024,0.8441489180006404,2,5,0
O=C1N[C@@H](C(=O)N[C@H]2CCN(C(=O)CCn3cnnn3)C2)CO1,323.3130000000001,-2.1112999999999964,0.6335391116140736,2,8,0
CN(C(=O)c1cnn(C)c1N)C1CC(NCc2nnn(C)n2)C1,319.37300000000005,-1.0813999999999984,0.7188712041134012,2,9,0
C=CCCCNC(=O)N(C)[C@@H](C)c1nc(C)no1,252.31799999999998,2.04662,0.6209766152779151,1,4,0
CC[C@H](OC)C(=O)N1CC(O)(CNC(=O)c2ncn(C)n2)C1,311.34200000000004,-1.4567999999999979,0.6645637482104696,2,7,0
CCC(=O)N1CCC[C@H](N(C)C(=O)c2cc3ccccc3[nH]2)CC1,327.42800000000005,3.0310000000000015,0.9418832589577454,1,2,0
CN1C[C@@H](C(=O)NC[C@@]2(O)CCN(C(=O)c3nc[nH]n3)C2)CC1=O,336.3520000000001,-2.023799999999996,0.5813011363665419,3,6,0
CCCN(CC(C)(C)O)C(=O)C(=O)N1CCC(O)(CO)CC1,316.3980000000001,-0.6582999999999988,0.5847215397309019,3,5,0
CC(C)N1CCC(C(=O)N2CC[C@@H]([C@H](C)NC/C=C\Cl)C2)CC1,341.92700000000013,2.685900000000001,0.806457857714788,1,3,0
CCC(CC)(CCO)NCc1ccc(OCC(F)(F)F)nc1,320.35499999999996,3.0535000000000014,0.7341518762895919,2,4,0
CCC[C@](C)(NC(=O)N[C@@H](CC)COCC1CC1)C(=O)O,300.39899999999994,2.1342000000000003,0.5765534359622226,3,3,0
O=C(CCOc1cccc(F)c1)OC[C@@H]1CC2(CCC2)C(=O)O1,322.33200000000005,2.6236000000000006,0.7535223259979074,0,5,0
CCc1cncc(C(=O)NCC[C@H](C)NC(=O)CCn2cncn2)c1,344.419,0.9503999999999999,0.7050795404655711,2,6,0
CSCC[C@@H](C)N(C)c1nnc(CC2CCCC2)n1C,296.48400000000004,3.125600000000002,0.7739694774251245,0,5,0
C[C@@]1(c2ccccc2)CN(C(=O)[C@@H](F)c2ccccc2)CCO1,313.37200000000007,3.471400000000002,0.8681547583064116,0,2,0
O=[N+]([O-])c1ccc(-c2noc(CSC3CC3)n2)s1,283.33399999999995,3.1019000000000014,0.6191012164733523,0,7,0
C[C@@H](CC(=O)O)CC(=O)Nc1ccn(-c2ccc(C#N)cc2Cl)n1,346.77400000000006,2.836780000000001,0.8356136025441769,2,5,0
CCN[C@@H](COC(=O)c1ccc([N+](=O)[O-])cc1)C1CCCCC1,320.38900000000024,3.3100000000000023,0.4733519316818027,1,5,0
